FIPS,Name,Population,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20
47592,Marlborough township,3377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7
50640,Montgomery township,26149,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,5,6,8,9,10,11,11,14,16,19,21,25,29,34,37,43,44,51,54,54,59,67,72,79,80,92,93,94,97,97,99,101,102,102,104,107,108,108,108,109,109,109,114,115,115,117,117,181,182,183,184,186,186,186,187,187,187
52664,Narberth borough,4348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,5,5,6,6,6,6,6,7,8,8,8,10,11,14,14,14,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17
53664,New Hanover township,13035,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,5,5,6,6,6,8,12,13,13,13,13,13,15,16,16,16,16,16,19,20,20,20,21,21,22,22,24,24,25,25,25,25,26,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,30,31,31,31
54656,Norristown borough,34422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,6,6,7,8,12,18,23,26,36,42,50,57,69,76,79,84,85,89,99,117,130,143,152,161,172,188,202,210,215,218,232,256,264,272,285,296,299,310,328,346,356,384,387,393,429,443,473,498,524,548,560,586,602
55512,North Wales borough,3266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,6,6,7,8,9,9,9,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
59120,Pennsburg borough,3873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
59392,Perkiomen township,9175,0,0,0,0,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,7,7,8,12,12,13,14,15,15,15,16,16,16,16,17,18,18,18,19,19,21,21,21,21,22,23,23,23,23,24,25,25,25,25,25,26,26,26,26,28,28,28,28,28,29,30,31,33,33,34,34,34,34
61664,Plymouth township,17570,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,6,8,9,9,9,12,13,13,15,20,22,23,29,32,34,37,43,46,47,49,49,49,55,57,57,60,64,67,68,70,71,73,74,75,75,77,80,80,80,82,84,84,84,84,84,84,84,84,85,87,87,89,91,91,94,95,98,99
62416,Pottstown borough,22667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,5,5,5,5,9,9,10,10,13,13,16,19,22,23,30,35,36,42,42,42,42,45,48,50,53,54,58,61,63,65,66,66,67,67,70,70,73,73,74,77,81,83,85,87,89,89,92,96,97,99,100,101,103,104,105,106
63808,Red Hill borough,2367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5
65568,Rockledge borough,2534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,8,9,9,9,9,10,11,11,11,11,11,11,11,12,13,14,15,15,15,15,15,15,15,15,15,15
66576,Royersford borough,4770,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,4,4,4,6,7,7,8,8,8,8,8,8,9,9,9,9,9,9,11,11,11,13,14,14,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,19,20,21,21,23,24
67528,Salford township,2948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,4,4,6,7,7,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11
68328,Schwenksville borough,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9
71016,Skippack township,15127,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,7,8,9,10,10,10,11,11,12,14,16,16,18,21,22,23,23,23,25,26,31,33,33,33,35,37,37,39,39,39,39,40,42,42,43,43,43,43,43,44,44,45,48,48,49,49,51,52,52,52,52,52,53,53
71856,Souderton borough,7103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,6,6,6,9,10,14,17,19,22,24,27,31,33,34,34,34,38,40,40,40,41,44,45,50,51,51,51,51,51,51,51,52,55,55,55,55,55,55,58,60,61,61,61,62,62,62,63,66,66,66,69,69,72
73088,Springfield township,19904,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,9,11,12,13,13,19,22,29,32,33,36,45,52,61,67,72,103,125,139,148,156,161,168,189,204,217,235,238,244,255,272,284,298,305,315,331,347,360,362,364,365,366,383,389,397,399,407,408,410,418,436,440,459,459,461,463,466,470
76304,Telford borough,2201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,4,5,7,10,10,10,15,16,16,17,19,19,19,19,20,20,20,20,20,20,21,21,22,22,22,22,23,24,24,24,24,24,24,24,24,25,25,25,25,26,26,26,26,27,27,27,27,27
77152,Towamencin township,18491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,4,4,4,5,5,5,9,9,9,10,10,11,16,17,18,18,19,19,19,20,21,23,33,35,36,40,41,42,43,45,46,48,49,53,53,53,56,57,58,87,87,87,87,88,88,88,90,90,90,92,99,100,101,101,105
